PSNR - 0020.png: 15.0772, num_target: 50.0000, num_group: 35.0000
RSE - 0020.png: 0.4326, num_target: 50.0000, num_group: 35.0000
Time - 0020.png: 7.1106, num_target: 50.0000, num_group: 35.0000
PSNR - 0020.png: 21.8195, num_target: 50.0000, num_group: 40.0000
RSE - 0020.png: 0.1991, num_target: 50.0000, num_group: 40.0000
Time - 0020.png: 8.4236, num_target: 50.0000, num_group: 40.0000
PSNR - 0020.png: 16.1649, num_target: 50.0000, num_group: 45.0000
RSE - 0020.png: 0.3817, num_target: 50.0000, num_group: 45.0000
Time - 0020.png: 12.0913, num_target: 50.0000, num_group: 45.0000
PSNR - 0020.png: 16.0598, num_target: 50.0000, num_group: 50.0000
RSE - 0020.png: 0.3863, num_target: 50.0000, num_group: 50.0000
Time - 0020.png: 16.4945, num_target: 50.0000, num_group: 50.0000
PSNR - 0028.png: 5.9757, num_target: 10.0000, num_group: 10.0000
RSE - 0028.png: 0.7995, num_target: 10.0000, num_group: 10.0000
Time - 0028.png: 1.8647, num_target: 10.0000, num_group: 10.0000
PSNR - 0028.png: 6.8379, num_target: 10.0000, num_group: 15.0000
RSE - 0028.png: 0.7240, num_target: 10.0000, num_group: 15.0000
Time - 0028.png: 2.6075, num_target: 10.0000, num_group: 15.0000
PSNR - 0028.png: 6.5415, num_target: 10.0000, num_group: 20.0000
RSE - 0028.png: 0.7491, num_target: 10.0000, num_group: 20.0000
Time - 0028.png: 3.3025, num_target: 10.0000, num_group: 20.0000
PSNR - 0028.png: 7.7569, num_target: 10.0000, num_group: 25.0000
RSE - 0028.png: 0.6513, num_target: 10.0000, num_group: 25.0000
Time - 0028.png: 6.1511, num_target: 10.0000, num_group: 25.0000
PSNR - 0028.png: 7.9818, num_target: 10.0000, num_group: 30.0000
RSE - 0028.png: 0.6346, num_target: 10.0000, num_group: 30.0000
Time - 0028.png: 5.3972, num_target: 10.0000, num_group: 30.0000
PSNR - 0028.png: 8.2236, num_target: 10.0000, num_group: 35.0000
RSE - 0028.png: 0.6172, num_target: 10.0000, num_group: 35.0000
Time - 0028.png: 6.8657, num_target: 10.0000, num_group: 35.0000
PSNR - 0028.png: 8.9430, num_target: 10.0000, num_group: 40.0000
RSE - 0028.png: 0.5682, num_target: 10.0000, num_group: 40.0000
Time - 0028.png: 8.8745, num_target: 10.0000, num_group: 40.0000
PSNR - 0028.png: 9.0520, num_target: 10.0000, num_group: 45.0000
RSE - 0028.png: 0.5611, num_target: 10.0000, num_group: 45.0000
Time - 0028.png: 11.7726, num_target: 10.0000, num_group: 45.0000
PSNR - 0028.png: 8.9689, num_target: 10.0000, num_group: 50.0000
RSE - 0028.png: 0.5665, num_target: 10.0000, num_group: 50.0000
Time - 0028.png: 13.1239, num_target: 10.0000, num_group: 50.0000
PSNR - 0028.png: 7.1420, num_target: 15.0000, num_group: 10.0000
RSE - 0028.png: 0.6991, num_target: 15.0000, num_group: 10.0000
Time - 0028.png: 1.2888, num_target: 15.0000, num_group: 10.0000
PSNR - 0028.png: 6.7363, num_target: 15.0000, num_group: 15.0000
RSE - 0028.png: 0.7325, num_target: 15.0000, num_group: 15.0000
Time - 0028.png: 2.1395, num_target: 15.0000, num_group: 15.0000
PSNR - 0028.png: 8.4406, num_target: 15.0000, num_group: 20.0000
RSE - 0028.png: 0.6020, num_target: 15.0000, num_group: 20.0000
Time - 0028.png: 2.9571, num_target: 15.0000, num_group: 20.0000
PSNR - 0028.png: 7.9492, num_target: 15.0000, num_group: 25.0000
RSE - 0028.png: 0.6370, num_target: 15.0000, num_group: 25.0000
Time - 0028.png: 4.1756, num_target: 15.0000, num_group: 25.0000
PSNR - 0028.png: 10.7481, num_target: 15.0000, num_group: 30.0000
RSE - 0028.png: 0.4615, num_target: 15.0000, num_group: 30.0000
Time - 0028.png: 5.3813, num_target: 15.0000, num_group: 30.0000
PSNR - 0028.png: 9.1743, num_target: 15.0000, num_group: 35.0000
RSE - 0028.png: 0.5532, num_target: 15.0000, num_group: 35.0000
Time - 0028.png: 6.8396, num_target: 15.0000, num_group: 35.0000
PSNR - 0028.png: 10.8636, num_target: 15.0000, num_group: 40.0000
RSE - 0028.png: 0.4555, num_target: 15.0000, num_group: 40.0000
Time - 0028.png: 8.0707, num_target: 15.0000, num_group: 40.0000
PSNR - 0028.png: 11.4022, num_target: 15.0000, num_group: 45.0000
RSE - 0028.png: 0.4281, num_target: 15.0000, num_group: 45.0000
Time - 0028.png: 11.4465, num_target: 15.0000, num_group: 45.0000
PSNR - 0028.png: 11.0400, num_target: 15.0000, num_group: 50.0000
RSE - 0028.png: 0.4463, num_target: 15.0000, num_group: 50.0000
Time - 0028.png: 13.0938, num_target: 15.0000, num_group: 50.0000
