Time - 0000.png: 0.7984, num_target: 45.0000, num_group: 15.0000
PSNR - 0000.png: 16.8889, num_target: 45.0000, num_group: 20.0000
RSE - 0000.png: 0.2062, num_target: 45.0000, num_group: 20.0000
Time - 0000.png: 1.1650, num_target: 45.0000, num_group: 20.0000
PSNR - 0000.png: 18.3447, num_target: 45.0000, num_group: 25.0000
RSE - 0000.png: 0.1744, num_target: 45.0000, num_group: 25.0000
Time - 0000.png: 1.6633, num_target: 45.0000, num_group: 25.0000
PSNR - 0000.png: 16.3367, num_target: 45.0000, num_group: 30.0000
RSE - 0000.png: 0.2197, num_target: 45.0000, num_group: 30.0000
Time - 0000.png: 2.7879, num_target: 45.0000, num_group: 30.0000
PSNR - 0000.png: 17.5321, num_target: 45.0000, num_group: 35.0000
RSE - 0000.png: 0.1915, num_target: 45.0000, num_group: 35.0000
Time - 0000.png: 2.6691, num_target: 45.0000, num_group: 35.0000
PSNR - 0000.png: 19.5230, num_target: 45.0000, num_group: 40.0000
RSE - 0000.png: 0.1522, num_target: 45.0000, num_group: 40.0000
Time - 0000.png: 3.2887, num_target: 45.0000, num_group: 40.0000
PSNR - 0000.png: 23.1222, num_target: 45.0000, num_group: 45.0000
RSE - 0000.png: 0.1006, num_target: 45.0000, num_group: 45.0000
Time - 0000.png: 4.5922, num_target: 45.0000, num_group: 45.0000
PSNR - 0000.png: 17.8563, num_target: 45.0000, num_group: 50.0000
RSE - 0000.png: 0.1844, num_target: 45.0000, num_group: 50.0000
Time - 0000.png: 4.6882, num_target: 45.0000, num_group: 50.0000
PSNR - 0000.png: 12.6839, num_target: 50.0000, num_group: 10.0000
RSE - 0000.png: 0.3346, num_target: 50.0000, num_group: 10.0000
Time - 0000.png: 0.6292, num_target: 50.0000, num_group: 10.0000
PSNR - 0000.png: 14.8374, num_target: 50.0000, num_group: 15.0000
RSE - 0000.png: 0.2611, num_target: 50.0000, num_group: 15.0000
Time - 0000.png: 0.7906, num_target: 50.0000, num_group: 15.0000
PSNR - 0000.png: 15.2639, num_target: 50.0000, num_group: 20.0000
RSE - 0000.png: 0.2486, num_target: 50.0000, num_group: 20.0000
Time - 0000.png: 1.1111, num_target: 50.0000, num_group: 20.0000
PSNR - 0000.png: 16.5325, num_target: 50.0000, num_group: 25.0000
RSE - 0000.png: 0.2148, num_target: 50.0000, num_group: 25.0000
Time - 0000.png: 1.7900, num_target: 50.0000, num_group: 25.0000
PSNR - 0000.png: 18.7833, num_target: 50.0000, num_group: 30.0000
RSE - 0000.png: 0.1658, num_target: 50.0000, num_group: 30.0000
Time - 0000.png: 2.1301, num_target: 50.0000, num_group: 30.0000
PSNR - 0000.png: 14.4378, num_target: 50.0000, num_group: 35.0000
RSE - 0000.png: 0.2734, num_target: 50.0000, num_group: 35.0000
Time - 0000.png: 2.8524, num_target: 50.0000, num_group: 35.0000
PSNR - 0000.png: 22.5037, num_target: 50.0000, num_group: 40.0000
RSE - 0000.png: 0.1080, num_target: 50.0000, num_group: 40.0000
Time - 0000.png: 3.1407, num_target: 50.0000, num_group: 40.0000
PSNR - 0000.png: 20.0370, num_target: 50.0000, num_group: 45.0000
RSE - 0000.png: 0.1435, num_target: 50.0000, num_group: 45.0000
Time - 0000.png: 4.0179, num_target: 50.0000, num_group: 45.0000
PSNR - 0000.png: 20.1727, num_target: 50.0000, num_group: 50.0000
RSE - 0000.png: 0.1413, num_target: 50.0000, num_group: 50.0000
Time - 0000.png: 4.6099, num_target: 50.0000, num_group: 50.0000
PSNR - 0020.png: 9.8525, num_target: 10.0000, num_group: 10.0000
RSE - 0020.png: 0.7894, num_target: 10.0000, num_group: 10.0000
