Time - 0000.png: 11.7588, num_target: 45.0000, num_group: 45.0000
PSNR - 0000.png: 21.2501, num_target: 45.0000, num_group: 50.0000
RSE - 0000.png: 0.1248, num_target: 45.0000, num_group: 50.0000
Time - 0000.png: 13.2559, num_target: 45.0000, num_group: 50.0000
PSNR - 0000.png: 11.5016, num_target: 50.0000, num_group: 10.0000
RSE - 0000.png: 0.3833, num_target: 50.0000, num_group: 10.0000
Time - 0000.png: 1.3055, num_target: 50.0000, num_group: 10.0000
PSNR - 0000.png: 15.9841, num_target: 50.0000, num_group: 15.0000
RSE - 0000.png: 0.2288, num_target: 50.0000, num_group: 15.0000
Time - 0000.png: 2.1658, num_target: 50.0000, num_group: 15.0000
PSNR - 0000.png: 14.4708, num_target: 50.0000, num_group: 20.0000
RSE - 0000.png: 0.2724, num_target: 50.0000, num_group: 20.0000
Time - 0000.png: 3.0042, num_target: 50.0000, num_group: 20.0000
PSNR - 0000.png: 15.9316, num_target: 50.0000, num_group: 25.0000
RSE - 0000.png: 0.2302, num_target: 50.0000, num_group: 25.0000
Time - 0000.png: 4.2210, num_target: 50.0000, num_group: 25.0000
PSNR - 0000.png: 16.8968, num_target: 50.0000, num_group: 30.0000
RSE - 0000.png: 0.2060, num_target: 50.0000, num_group: 30.0000
Time - 0000.png: 5.4414, num_target: 50.0000, num_group: 30.0000
PSNR - 0000.png: 18.5918, num_target: 50.0000, num_group: 35.0000
RSE - 0000.png: 0.1695, num_target: 50.0000, num_group: 35.0000
Time - 0000.png: 6.9209, num_target: 50.0000, num_group: 35.0000
PSNR - 0000.png: 20.9441, num_target: 50.0000, num_group: 40.0000
RSE - 0000.png: 0.1293, num_target: 50.0000, num_group: 40.0000
Time - 0000.png: 8.1773, num_target: 50.0000, num_group: 40.0000
PSNR - 0000.png: 22.1011, num_target: 50.0000, num_group: 45.0000
RSE - 0000.png: 0.1131, num_target: 50.0000, num_group: 45.0000
Time - 0000.png: 11.5660, num_target: 50.0000, num_group: 45.0000
PSNR - 0000.png: 15.3021, num_target: 50.0000, num_group: 50.0000
RSE - 0000.png: 0.2475, num_target: 50.0000, num_group: 50.0000
Time - 0000.png: 13.1708, num_target: 50.0000, num_group: 50.0000
PSNR - 0020.png: 9.8469, num_target: 10.0000, num_group: 10.0000
RSE - 0020.png: 0.7900, num_target: 10.0000, num_group: 10.0000
Time - 0020.png: 1.3178, num_target: 10.0000, num_group: 10.0000
PSNR - 0020.png: 9.9500, num_target: 10.0000, num_group: 15.0000
RSE - 0020.png: 0.7806, num_target: 10.0000, num_group: 15.0000
Time - 0020.png: 2.1686, num_target: 10.0000, num_group: 15.0000
PSNR - 0020.png: 10.7010, num_target: 10.0000, num_group: 20.0000
RSE - 0020.png: 0.7160, num_target: 10.0000, num_group: 20.0000
Time - 0020.png: 3.8716, num_target: 10.0000, num_group: 20.0000
